what,kind,bundleId,bundleVersion,description,time
ws,sysinfo,,,"win32",1257275600125
locale,sysinfo,,,"it_IT",1257275600125
processors,sysinfo,,,"2",1257275600125
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1257275600125
java.runtime.version,sysinfo,,,"1.6.0_13-b03",1257275600125
java.specification.name,sysinfo,,,"Java Platform API Specification",1257275600125
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1257275600125
java.specification.version,sysinfo,,,"1.6",1257275600125
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1257275600125
java.version,sysinfo,,,"1.6.0_13",1257275600125
java.vm.info,sysinfo,,,"mixed mode",1257275600125
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1257275600125
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1257275600125
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1257275600125
java.vm.specification.version,sysinfo,,,"1.0",1257275600125
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1257275600125
java.vm.version,sysinfo,,,"11.3-b02",1257275600125
started,bundle,org.eclipse.mylyn.commons.ui,3.2.0.v20090617-0100-e3x,"org.eclipse.mylyn.commons.ui",1257275600265
started,bundle,org.eclipse.mylyn.bugzilla.core,3.2.0.v20090617-0100-e3x,"org.eclipse.mylyn.bugzilla.core",1257275600828
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.2.0.v20090617-0100-e3x,"org.eclipse.mylyn.bugzilla.ui",1257275600890
started,bundle,org.eclipse.mylyn.tasks.ui,3.2.0.v20090617-0100-e3x,"org.eclipse.mylyn.tasks.ui",1257275601609
started,bundle,org.eclipse.mylyn.team.ui,3.2.0.v20090617-0100-e3x,"org.eclipse.mylyn.team.ui",1257275601718
started,bundle,org.eclipse.update.scheduler,3.2.200.v20081127,"org.eclipse.update.scheduler",1257275601750
started,bundle,org.eclipse.update.core,3.2.300.v20090525,"org.eclipse.update.core",1257275601921
started,bundle,org.eclipse.wst.ws.service.policy.ui,1.0.102.v200903070248,"org.eclipse.wst.ws.service.policy.ui",1257275601968
