what,kind,bundleId,bundleVersion,description,time
stopped,bundle,org.hibernate.eclipse.jdt.apt.ui,3.2.4.GA-R200905070146-H18,org.hibernate.eclipse.jdt.apt.ui,1243604396890
stopped,bundle,org.hibernate.eclipse.jdt.ui,3.2.4.GA-R200905070146-H18,org.hibernate.eclipse.jdt.ui,1243604396890
stopped,bundle,org.hibernate.eclipse.mapper,3.2.4.GA-R200905070146-H18,org.hibernate.eclipse.mapper,1243604396890
stopped,bundle,org.jboss.tools.birt.oda.ui,1.0.0.GA-R200905070146-H18,org.jboss.tools.birt.oda.ui,1243604396890
stopped,bundle,org.jboss.tools.hibernate.jpt.ui,3.2.4.GA-R200905070146-H18,org.jboss.tools.hibernate.jpt.ui,1243604396890
stopped,bundle,org.jboss.tools.hibernate.ui.veditor,3.2.4.GA-R200905070146-H18,org.jboss.tools.hibernate.ui.veditor,1243604396890
stopped,bundle,org.jboss.tools.hibernate.ui.view,3.2.4.GA-R200905070146-H18,org.jboss.tools.hibernate.ui.view,1243604396890
stopped,bundle,org.hibernate.eclipse.console,3.2.4.GA-R200905070146-H18,org.hibernate.eclipse.console,1243604396890
stopped,bundle,org.jbpm.gd.jpdl,3.1.7.GA-R200905070146-H18,org.jbpm.gd.jpdl,1243604396890
stopped,bundle,org.eclipse.jdt.debug.ui,3.3.0.v20080603,org.eclipse.jdt.debug.ui,1243604396890
stopped,bundle,org.eclipse.datatools.enablement.jdt.classpath,1.0.1.v200805152355,org.eclipse.datatools.enablement.jdt.classpath,1243604396890
stopped,bundle,org.eclipse.jdt.apt.ui,3.3.100.v20080407-1345,org.eclipse.jdt.apt.ui,1243604396890
stopped,bundle,org.eclipse.jpt.eclipselink.ui,1.0.0.v200805300000,org.eclipse.jpt.eclipselink.ui,1243604396890
stopped,bundle,org.eclipse.jpt.ui,2.0.0.v200806050000,org.eclipse.jpt.ui,1243604396890
stopped,bundle,org.eclipse.jst.common.annotations.ui,1.1.102.v200806010600,org.eclipse.jst.common.annotations.ui,1243604396890
stopped,bundle,org.eclipse.jst.j2ee.ejb.annotations.ui,1.1.102.v200805140020,org.eclipse.jst.j2ee.ejb.annotations.ui,1243604396890
stopped,bundle,org.eclipse.jst.ws.axis.creation.ui,1.0.305.v200805140230,org.eclipse.jst.ws.axis.creation.ui,1243604396890
stopped,bundle,org.eclipse.jst.ws.axis.consumption.ui,1.0.303.v200805140230,org.eclipse.jst.ws.axis.consumption.ui,1243604396890
stopped,bundle,org.eclipse.jst.ws.axis2.creation.ui,1.0.102.v200805301834,org.eclipse.jst.ws.axis2.creation.ui,1243604396890
stopped,bundle,org.eclipse.jst.ws.axis2.consumption.ui,1.0.101.v200805301834,org.eclipse.jst.ws.axis2.consumption.ui,1243604396890
stopped,bundle,org.eclipse.jst.ws.axis2.creation.core,1.0.102.v200805301834,org.eclipse.jst.ws.axis2.creation.core,1243604396890
stopped,bundle,org.eclipse.jst.ws.axis2.consumption.core,1.0.102.v200805301834,org.eclipse.jst.ws.axis2.consumption.core,1243604396890
stopped,bundle,org.jboss.tools.ws.creation.ui,1.0.1.GA-R200905070146-H18,org.jboss.tools.ws.creation.ui,1243604396890
stopped,bundle,org.eclipse.jst.ws.creation.ui,1.0.305.v200805281530,org.eclipse.jst.ws.creation.ui,1243604396890
stopped,bundle,org.jboss.tools.esb.project.core,1.1.1.GA-R200905070146-H18,org.jboss.tools.esb.project.core,1243604396890
